Middle Age(30~44),Senior Adult(45~64),Senior Citizens(65+),Young Adult(18~29)
"{'Feature1': 'HighBP', 'Feature2': 'GenHlth', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.05098462128926479, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.06247903105475572, 'Difference': -0.011494409765490932}","{'Feature1': 'HighBP', 'Feature2': 'GenHlth', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.10927913359020047, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.13482960720516646, 'Difference': -0.025550473614965985}","{'Feature1': 'HighBP', 'Feature2': 'GenHlth', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.09063190617416894, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.10524066491370188, 'Difference': -0.014608758739532934}","{'Feature1': 'HighBP', 'Feature2': 'GenHlth', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.018039406588967494, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.018986604616336444, 'Difference': -0.0009471980273689506}"
"{'Feature1': 'HighBP', 'Feature2': 'MentHlth', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.03030345585744748, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.031183570075302813, 'Difference': -0.0008801142178553323}","{'Feature1': 'HighBP', 'Feature2': 'MentHlth', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.0598706359902067, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.06311630308152472, 'Difference': -0.0032456670913180163}","{'Feature1': 'HighBP', 'Feature2': 'MentHlth', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.03854625992555549, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.0387101336325919, 'Difference': -0.00016387370703641047}","{'Feature1': 'HighBP', 'Feature2': 'MentHlth', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.013590498298526404, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.011513762344786016, 'Difference': 0.0020767359537403884}"
"{'Feature1': 'HighBP', 'Feature2': 'PhysHlth', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.03750170280404158, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.04088753480975382, 'Difference': -0.0033858320057122415}","{'Feature1': 'HighBP', 'Feature2': 'PhysHlth', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.0759016445617905, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.08535381509809503, 'Difference': -0.009452170536304538}","{'Feature1': 'HighBP', 'Feature2': 'PhysHlth', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.05373437968168937, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.05701624971546004, 'Difference': -0.003281870033770673}","{'Feature1': 'HighBP', 'Feature2': 'PhysHlth', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.018445751074270794, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.016762533295717696, 'Difference': 0.0016832177785530977}"
"{'Feature1': 'HighBP', 'Feature2': 'DiffWalk', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.032665774494891886, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.03729825229168193, 'Difference': -0.0046324777967900466}","{'Feature1': 'HighBP', 'Feature2': 'DiffWalk', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.07685809320566739, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.08966141047416265, 'Difference': -0.012803317268495262}","{'Feature1': 'HighBP', 'Feature2': 'DiffWalk', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.05453356105096119, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.06085564599958637, 'Difference': -0.006322084948625184}","{'Feature1': 'HighBP', 'Feature2': 'DiffWalk', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.008130244110733237, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.008738399500000299, 'Difference': -0.0006081553892670621}"
"{'Feature1': 'HighBP', 'Feature2': 'Sex', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.022575004936504273, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.021652478417429122, 'Difference': 0.0009225265190751508}","{'Feature1': 'HighBP', 'Feature2': 'Sex', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.05090353755454691, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.0514740611612009, 'Difference': -0.0005705236066539943}","{'Feature1': 'HighBP', 'Feature2': 'Sex', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.04302680953831173, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.042550497493179185, 'Difference': 0.0004763120451325431}","{'Feature1': 'HighBP', 'Feature2': 'Sex', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.007020921225594029, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.005886887422803688, 'Difference': 0.0011340338027903407}"
"{'Feature1': 'HighBP', 'Feature2': 'Education', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.027099081197224206, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.029258249444690798, 'Difference': -0.002159168247466592}","{'Feature1': 'HighBP', 'Feature2': 'Education', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.05862559592484129, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.06403254528802393, 'Difference': -0.005406949363182645}","{'Feature1': 'HighBP', 'Feature2': 'Education', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.03908698067574412, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.04147496840500309, 'Difference': -0.002387987729258967}","{'Feature1': 'HighBP', 'Feature2': 'Education', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.008662369415006282, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.00796198037845891, 'Difference': 0.000700389036547372}"
"{'Feature1': 'HighBP', 'Feature2': 'Income', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.03428081708894942, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.0379263783589755, 'Difference': -0.0036455612700260764}","{'Feature1': 'HighBP', 'Feature2': 'Income', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.07265993440326335, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.08270891548929638, 'Difference': -0.010048981086033026}","{'Feature1': 'HighBP', 'Feature2': 'Income', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.04267979499954211, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.04578948809857075, 'Difference': -0.003109693099028643}","{'Feature1': 'HighBP', 'Feature2': 'Income', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.01127266236270616, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.009880477540960386, 'Difference': 0.0013921848217457733}"
"{'Feature1': 'HighChol', 'Feature2': 'CholCheck', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.01747715943759437, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.01777881660812647, 'Difference': -0.00030165717053209917}","{'Feature1': 'HighChol', 'Feature2': 'CholCheck', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.03307435765107447, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.03435539218471084, 'Difference': -0.0012810345336363715}","{'Feature1': 'HighChol', 'Feature2': 'CholCheck', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.020244343904781248, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.02087979910608828, 'Difference': -0.0006354552013070336}","{'Feature1': 'HighChol', 'Feature2': 'CholCheck', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.00585341287179994, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.005775892131050009, 'Difference': 7.75207407499312e-05}"
"{'Feature1': 'HighChol', 'Feature2': 'BMI', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.041324595518075824, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.0412256978708313, 'Difference': 9.889764724452244e-05}","{'Feature1': 'HighChol', 'Feature2': 'BMI', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.06853150205375902, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.07251739185534967, 'Difference': -0.003985889801590647}","{'Feature1': 'HighChol', 'Feature2': 'BMI', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.05685263511701044, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.05738370958430705, 'Difference': -0.0005310744672966106}","{'Feature1': 'HighChol', 'Feature2': 'BMI', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.02216625958714699, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.01914193936074199, 'Difference': 0.003024320226405003}"
"{'Feature1': 'HighChol', 'Feature2': 'Smoker', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.018377078422477655, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.018698513628702895, 'Difference': -0.00032143520622524013}","{'Feature1': 'HighChol', 'Feature2': 'Smoker', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.03717887908822737, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.0388033119181016, 'Difference': -0.0016244328298742339}","{'Feature1': 'HighChol', 'Feature2': 'Smoker', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.022842003930600985, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.023457909581354297, 'Difference': -0.0006159056507533123}","{'Feature1': 'HighChol', 'Feature2': 'Smoker', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.006938237363788263, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.006762983870296557, 'Difference': 0.00017525349349170605}"
"{'Feature1': 'HighChol', 'Feature2': 'PhysActivity', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.018588860969492582, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.01933338019887315, 'Difference': -0.0007445192293805691}","{'Feature1': 'HighChol', 'Feature2': 'PhysActivity', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.03774632618887985, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.039566560368680115, 'Difference': -0.001820234179800262}","{'Feature1': 'HighChol', 'Feature2': 'PhysActivity', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.027615515341154584, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.028072515159517808, 'Difference': -0.000456999818363224}","{'Feature1': 'HighChol', 'Feature2': 'PhysActivity', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.0064354354488232735, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.006214373330260259, 'Difference': 0.0002210621185630146}"
"{'Feature1': 'HighChol', 'Feature2': 'Fruits', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.016868689591076957, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.017279392294583862, 'Difference': -0.0004107027035069044}","{'Feature1': 'HighChol', 'Feature2': 'Fruits', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.03221164181117564, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.03301225894083437, 'Difference': -0.0008006171296587317}","{'Feature1': 'HighChol', 'Feature2': 'Fruits', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.020126013932426856, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.020462403828674702, 'Difference': -0.0003363898962478462}","{'Feature1': 'HighChol', 'Feature2': 'Fruits', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.005898048798144567, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.005583872097822462, 'Difference': 0.0003141767003221052}"
"{'Feature1': 'HighChol', 'Feature2': 'Veggies', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.017050155970113445, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.01734344233419166, 'Difference': -0.00029328636407821573}","{'Feature1': 'HighChol', 'Feature2': 'Veggies', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.03327593514176008, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.03400257597977152, 'Difference': -0.0007266408380114386}","{'Feature1': 'HighChol', 'Feature2': 'Veggies', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.021045891662455185, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.021120212463610955, 'Difference': -7.432080115576944e-05}","{'Feature1': 'HighChol', 'Feature2': 'Veggies', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.006297327963602578, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.006075812736237862, 'Difference': 0.00022151522736471585}"
"{'Feature1': 'HighChol', 'Feature2': 'HvyAlcoholConsump', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.01628981956915182, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.016234087441305056, 'Difference': 5.5732127846763735e-05}","{'Feature1': 'HighChol', 'Feature2': 'HvyAlcoholConsump', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.03267957783317954, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.03267271930080995, 'Difference': 6.85853236959133e-06}","{'Feature1': 'HighChol', 'Feature2': 'HvyAlcoholConsump', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.021428591175802092, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.02139877516151678, 'Difference': 2.9816014285311e-05}","{'Feature1': 'HighChol', 'Feature2': 'HvyAlcoholConsump', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.005647191643794541, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.005461151966472122, 'Difference': 0.00018603967732241933}"
"{'Feature1': 'HighChol', 'Feature2': 'AnyHealthcare', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.016796005916933143, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.016733606322411887, 'Difference': 6.239959452125632e-05}","{'Feature1': 'HighChol', 'Feature2': 'AnyHealthcare', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.030939345507633553, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.030810982375901963, 'Difference': 0.0001283631317315903}","{'Feature1': 'HighChol', 'Feature2': 'AnyHealthcare', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.018654108633606725, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.01859863865178002, 'Difference': 5.5469981826705705e-05}","{'Feature1': 'HighChol', 'Feature2': 'AnyHealthcare', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.0059673996627593595, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.005728467839916207, 'Difference': 0.0002389318228431525}"
